imdb_id,tmdb_id,title,logline,no_seasons,no_episodes,runtime_per_episode,runtime,imdb_rating,content_type,meta_score,rt_rating,trailer_link,image_link,discovery_mode,in_set,primary_mode,topic_one,on_netflix,on_hbo,on_amazon_prime,on_hulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2782710,48552,VICE,"Covers topics such as political assassinations, young weapons manufacturers, and child suicide bombers using an immersionist style of documentary filmmaking.",5,71,30,2130,8.9,Series,,,https://youtu.be/M5OZ9rsO7dM,https://image.tmdb.org/t/p/w700_and_h392_bestv2//mKAfzIGTijOWoM4heoSA4P8nyKT.jpg,,1,Get informed / learn something,Political / Economic,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4299972,61929,The Jinx: The Life and Deaths of Robert Durst,"Real estate royalty Robert Durst has been accused of three murders but never convicted. Brilliant, reclusive, and the subject of relentless media scrutiny, he finally speaks publicly about the events which transpired.",1,6,45,270,8.8,Series,,,https://youtu.be/tEPG9z9rHsc,https://image.tmdb.org/t/p/w700_and_h392_bestv2//2S43MNXcwU0urA1pO9JOKp44Ouv.jpg,,1,Explore the mystery,Crime,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2964642,60910,Life Below Zero,Viewers go deep into an Alaskan winter to meet six tough and resilient residents as they try to stay one step ahead of storms and man-eating beasts to make it through to spring.,9,83,60,4980,8.2,Series,,,https://youtu.be/xap9iZsFoFU,https://image.tmdb.org/t/p/w700_and_h392_bestv2//4AxY0UnbhCGVNR6TKDhcvQLimt7.jpg,,1,Broaden your perspective,How others live,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4295140,62391,Chef's Table,"In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.",3,18,54,972,8.7,Series,,,https://youtu.be/qKqj85oo2wI,https://image.tmdb.org/t/p/w700_and_h392_bestv2//jxSsELdvvwHTkOMFZZunDyBivnn.jpg,,1,Experience Art,Food & Travel,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt6628364,71985,Le Mans: Racing is Everything,The 24 Hours of Le Mans is a motor race like no other.,1,5,,,7.5,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//xFULwCuO12ZjOOz3tuBiUNbXnn2.jpg,,1,Relax and unwind,Sports,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1533395,16946,Life,"David Attenborough looks at the extraordinary ends to which animals and plants go in order to survive. Featuring epic spectacles, amazing TV firsts and examples of new wildlife behaviour.",1,10,30,300,9.1,Series,,,https://youtu.be/IBws4yj7W1A,https://image.tmdb.org/t/p/w700_and_h392_bestv2//6LZZSu5OZtYiUqe1toPUKuTVX3r.jpg,,1,Relax and unwind,Science & Nature,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5968748,70445,American Playboy: The Hugh Hefner Story,Chronicles the life and impact of the famous international playboy,1,9,,,7.4,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//25s96rJr90ISHxmoOFMrdHgm3eh.jpg,,1,Get informed / learn something,Culture,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0098769,9693,The Civil War,The Civil War is a documentary film created by Ken Burns about the American Civil War,1,9,660,5940,9.2,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//qMVFhfAfH4wvAjctSKcYom8rz8w.jpg,,1,Get informed / learn something,History / War,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0094574,126,Unsolved Mysteries,Name says it all,14,577,60,34620,8.4,Series,,,https://youtu.be/i5h2x3G40to,https://image.tmdb.org/t/p/w700_and_h392_bestv2//z9PAC1fKtcKCERAvB8Edvy2AG2X.jpg,,1,Explore the mystery,Mystery / Conspiracy,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1702042,34014,An Idiot Abroad,"The ongoing theme of both the television series and the books is that Karl Pilkington has no interest in global travel, so Stephan Merchant and Ricky Gervais make him travel while they stay in the United Kingdom and monitor his progress.",3,19,60,1140,8.3,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//yWHaWFdPEXHaggfpt0OpL6UQcK1.jpg,,1,Relax and unwind,Comedy,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
